,Intercept,country[T.US]
y0,4.366246167252333e-140,1.1111518477855426e-100
y1,4.279741242025778e-25,0.22172130396487272
y2,6.390387491544477e-27,4.278127336574859e-84
y3,9.708103486469968e-18,1.3621725966578888e-10
y4,0.051408644365702194,2.044295414518659e-07
y5,1.826712484867251e-10,0.7748494000810858
y6,0.0018649990655777073,0.343187822015782
y7,0.001017038794322096,0.03917440496373974
y8,0.9106981777414644,0.9106981777414644
y9,4.6282288297552336e-30,5.35968345349588e-19
y10,2.840339869477546e-06,0.07533414580531533
y11,0.4760250129319455,0.5463041738044325
y12,9.115044741937815e-13,0.008374027353735321
y13,2.3561567497640206e-10,0.5522190727891009
y14,1.0394040985840121e-05,0.740915040555705
y15,5.7652122806027254e-55,1.94498322565479e-06
y16,0.0020568818231862865,0.028694033983956934
y17,4.6694324776022605e-32,0.32829386440625863
y18,1.8826380957630175e-48,7.991501175331136e-47
y19,0.04604981605423872,0.2148630880941633
y20,3.1816832735515056e-13,7.507153724525558e-08
y21,0.00023383875065974163,0.115662590420581
y22,1.367083133854517e-37,0.00010004611716434521
y23,1.083383653763462e-06,0.0002532060773291899
y24,0.7692578454417138,0.7692578454417138
y25,0.0016499343741084656,0.032600804782953914
y26,1.2232457370585444e-19,0.010110391861600008
y27,2.6246925944332007e-06,1.0454041951619802e-05
y28,4.463999816947153e-64,2.097866071080317e-36
y29,2.317949036985901e-50,0.4251453608773542
y30,1.60129542272589e-10,0.00235650088621339
y31,1.6589471149420451e-34,0.010673757996185982
y32,0.038067138476876754,0.038067138476876754
y33,0.4185702426627501,4.000812969652415e-05
y34,3.661233566154377e-67,0.29271403760534415
y35,0.9713097608513277,0.9713097608513277
y36,7.476173865436518e-23,0.09296136096303831
y37,5.289918636250756e-36,4.734854156696871e-06
y38,1.1890999725675835e-51,0.010528047622620006
y39,0.0005642738866417813,0.0005642738866417813
y40,0.00013388842966846317,7.091684249749811e-08
y41,1.532394376625095e-65,0.03948127505726009
y42,1.5271379345253342e-16,8.663084321082905e-07
y43,2.2224657634849084e-09,6.2822176184560144e-09
y44,5.435421361770125e-14,0.0033494357636654963
y45,1.8659228316108178e-08,0.11554955052115161
y46,4.61211462982998e-25,3.2636577442162185e-22
y47,0.0037630367598157645,1.2567453838244532e-05
y48,3.0859514872251926e-51,0.0003370357183180598
y49,0.7511915590274716,0.14175072522785143
y50,0.0012127733012703929,0.03741748566284781
y51,0.31964856723729856,2.2039541661265517e-05
y52,0.04942505136545841,0.4730900105124535
y53,0.9896714991396459,0.3605207481793125
y54,0.0010795323290583884,1.047300180794639e-07
y55,8.36708829840126e-19,0.3797599221460727
y56,0.6288518896909676,0.022762343296661356
y57,9.784792725369735e-33,8.095011507746279e-05
y58,0.0021114746437854133,0.001985221881242984
y59,5.827867509951561e-94,0.022366457230066864
y60,2.3279598343198846e-25,0.2970876194836728
y61,7.365422286362001e-10,7.365422286362001e-10
y62,0.0034011689403954317,0.7026074548891335
y63,6.692044311343938e-16,0.004985265509516744
y64,1.2331233107086698e-121,0.5382911464744506
y65,0.33220638952655535,0.33220638952655535
y66,1.6542368313162728e-73,0.04298315849325978
y67,8.064500339279254e-19,0.1014642298067368
y68,7.3475526426716e-62,5.1647924366725103e-14
y69,0.0016222586561932823,0.09968319445106215
y70,2.403186134662343e-35,0.012015393721354253
y71,2.179433776444805e-58,0.031012922069139984
y72,2.699596997701557e-54,0.0023868256926873246
y73,0.6325862726086673,0.0014892009594661994
y74,4.2272175457652294e-66,6.7823663758717305e-53
y75,0.048331101749404956,0.04999137894403203
y76,0.9464483091568148,0.9464483091568148
y77,0.052632857064679,0.7878025822014163
y78,5.670418711441939e-16,1.4141342577870926e-12
y79,2.2542301211413173e-196,0.000133716858576623
y80,5.3091099400335605e-39,0.006071530006735569
y81,7.489569521653741e-15,4.765761903115989e-10
y82,0.0026360407134426943,0.00011646405078550932
y83,2.623321261167753e-13,0.0022743311028554872
y84,3.9189355713689597e-07,0.051242089506552777
y85,0.10336023198022355,0.10336023198022355
y86,0.011173737019527976,0.24133857197628428
y87,6.190318186306234e-75,4.464584469252431e-46
y88,0.1856325647949744,0.48488283543152
y89,9.228711229190396e-27,0.003102288469153476
y90,1.532473639361016e-24,0.028359305823317294
y91,0.6196690441099024,0.05422071393801432
y92,0.10895897862062631,0.28940434034046963
y93,1.1004887119460646e-09,8.137002639164266e-11
y94,0.07428759415886091,0.34819220505551873
y95,1.9381154826395776e-12,2.94929344933087e-06
y96,3.528787865682423e-11,1.4630521795937617e-09
y97,0.5611902520545806,0.5611902520545806
y98,1.0146968468472584e-113,0.23078096816065163
y99,0.0003625353533090008,0.0003625353533090008
y100,0.008748757149810734,0.5948026651505252
y101,9.279102887262612e-05,0.04430093188968922
y102,2.491640437450326e-63,2.8248683159108764e-20
y103,0.41572886074404675,0.5555696983625514
y104,6.323688983412285e-23,0.0005607680526019582
y105,1.1523945935626736e-76,0.49530819044624563
y106,2.642315436906235e-18,1.4954623473583077e-06
y107,1.0198551847855719e-07,2.1446654995854076e-06
y108,1.969844885820455e-24,0.17576414894151066
y109,0.00014279066812865319,0.7317383368237689
y110,0.2002633595380783,8.577082505791005e-07
y111,2.7950277276358982e-08,0.8107251271164884
y112,1.5875872075342504e-28,1.3530590902742055e-05
y113,0.005354022547153147,0.2804600111170004
y114,0.0025549925643962167,0.0001544416754832238
y115,2.5616572405873804e-06,0.006549577593527612
y116,0.6841956077254079,0.007585130429569575
y117,0.8800303102760667,0.0032079422423883334
y118,8.693824223728923e-21,4.790885188175954e-16
y119,0.5038042364631101,0.5038042364631101
y120,6.470786393833213e-21,0.5507720037953501
y121,1.1249959725024292e-07,0.06944656836304554
y122,5.985511078858337e-06,0.3430648529922694
y123,0.052155181227340044,0.052155181227340044
y124,0.0021860356000241122,0.10396060561846174
