,Intercept,country[T.US]
y0,-17.57061263072762,-10.607572268268177
y1,-2.193755642995601,5.40729922127354
y2,-21.77887225840781,11.153788825580166
y3,-5.417626334935513,0.9070847490619273
y4,-3.64547681612998,-1.297275379860627
y5,-2.231305560345572,2.157455539204314
y6,-8.164388963839373,-6.251532548035681
y7,-1.1564914975208564,-0.3706256850322327
y8,-1.526066740032095,0.7360638484818219
y9,3.138951971567316,-0.09559270623239018
y10,0.5353786323288711,-0.765547515428832
y11,-2.2958245203875145,-0.9958112248416172
y12,0.7634117727008729,-0.37980989413554367
y13,-0.6981337227470882,1.4460451891705326
y14,-6.558212072703923,2.5916700055190725
y15,-1.2513023930392702,0.7439501863632505
y16,-0.12276724966019767,-0.3414330861400707
y17,2.675112941117763,-0.6853583559008504
y18,-5.097651209177762,-1.0871229104552087
y19,2.085002743968945,-0.8943333877060404
y20,0.744966958721678,0.4341730372428171
y21,0.4671710663553541,-2.2301818399543625
y22,-3.8236455877273845,-1.2822071852194725
y23,-0.4044653122056528,1.0935921015380001
y24,-3.594841941977746,2.0401609567236902
y25,-3.528413123957293,-0.6083062722572168
y26,-1.6905617486664068,0.49419486133054347
y27,0.5746680037883777,-0.19626964551164405
y28,-2.4692239448447677,0.03267440861689376
y29,-0.7203653784035859,-0.5853446096694647
y30,-1.2700672946907652,-1.183303204987368
y31,-0.8911974025072606,-1.690774412704581
y32,1.2356659260513934,-0.347875672090207
y33,-3.710967342419713,1.8513172081499285
y34,-1.8292028272161471,-0.44763448224500996
y35,0.8522087465423058,0.13145650463965136
y36,1.9560948796990187,0.1909447098491864
y37,-2.733358897264587,-2.0425648530575105
y38,-10.012226552280223,4.752034500423101
y39,-1.1634538737702655,0.04440921635741308
y40,4.391903534896713,-0.16004640960432337
y41,-0.5598599073187706,1.3295657121031401
y42,2.810614149907936,-0.09350631912779912
y43,2.432053179309802,0.20277077230549836
y44,1.2976623084564631,0.6898888752922002
y45,-1.9716870062059877,0.825093958249627
y46,2.399529924275406,-0.2092956399806873
y47,-3.2403451460129404,-0.9507558407941502
y48,-9.323100844228694,-0.13266395768680253
y49,0.16332537788870516,-0.045039198869675424
y50,3.3447025237940773,-0.9363053523446729
y51,-5.466683941307402,0.4184750726525762
y52,-1.5555139865079342,0.5691550776813082
y53,0.6374283060423892,0.4083738957843641
y54,-1.1821806037398261,0.004280462551406684
y55,-0.6714618430280357,-0.2494288703042245
y56,-1.691089366783514,2.2621702924636957
y57,3.674681512489207,-0.12242064252286086
y58,-9.575843743342507,4.029433104930028
y59,3.6137162484299297,0.3885110504867598
y60,0.9828677423537446,-0.8286042873252124
y61,0.18896338893119183,0.41504278293714514
y62,-0.3039544587253644,0.41890769066030703
y63,-2.8992396715404807,1.3004794459496547
y64,0.4526480295394136,2.922785181403215
y65,0.20021566096337803,-2.6985367799652336
y66,6.952745812724303,0.5393943733362648
y67,-0.9659590059592065,1.2116452941259723
