d_true,d_ancom_bc,d_uq1,d_uq2,d_tmm1,d_tmm2,d_css,d_med,d_wrench,d_tss,group,method,value,method_var,method_abb,label
-1.1237953459062264,-0.11953468188570822,11.34146715938475,0.2629002261776684,11.565516224941682,0.48694929173459917,7.472500744737558,0.34795558548638755,0.12814740722108353,11.078566933207084,G1,diff_ancom_bc,-0.009432474444825534,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8156373892373505,0.1461354776988988,11.635935491520891,0.2544293654174985,11.864252858797165,0.4827467326937731,7.677400430514807,0.6244985827950276,0.40351231583592284,11.381506126103393,G1,diff_ancom_bc,0.03305532263944344,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.9544455806664093,0.031557999798978484,11.535394262299015,0.290034566195742,11.731167007028748,0.4858073109254756,7.526717561352706,0.5147524074186359,0.2855624493881287,11.245359696103272,G1,diff_ancom_bc,0.008824609110305026,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8815009312943234,0.11527741630831038,11.621336692099739,0.30268796314273777,11.801628783180615,0.4829800542236132,7.622663951323595,0.595126677573776,0.36562879228455364,11.318648728957001,G1,diff_ancom_bc,-0.0019501580269409846,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.7834747088536129,0.18863643847293066,11.678495105939687,0.26175019944342787,11.904328784053412,0.48758387755715327,7.727094484779841,0.6629373393626412,0.4431613217572663,11.416744906496259,G1,diff_ancom_bc,0.022717042249149166,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-1.1077398524441044,-0.1132437089180729,11.398193140785528,0.3085404025734295,11.572845548244041,0.48319281003194264,7.445417556701687,0.34147924393641627,0.13782551598436782,11.089652738212099,G1,diff_ancom_bc,3.3204604966119433e-4,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-1.0294548798260126,-0.0390731114241552,11.444880254758182,0.27490999551488765,11.66396090040342,0.4939906411601271,7.47477218239787,0.4223699710730569,0.21056854991098017,11.169970259243295,G1,diff_ancom_bc,0.004446421173835313,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.863099748632127,0.13670002127513742,11.635935491520891,0.3012160637252196,11.81886790314238,0.4841484753467074,7.716906135298388,0.6152845083979601,0.3832815069242647,11.334719427795672,G1,diff_ancom_bc,-0.0049715803315717455,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8530880042861455,0.1421932630104884,11.621336692099739,0.27673520867961326,11.833387953787435,0.48878647036731,7.675546002537848,0.600912224725991,0.38957628941894723,11.344601483420126,G1,diff_ancom_bc,-4.5307772094116405e-4,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8192276605904012,0.17672859011979636,11.681269032822412,0.3030070295966437,11.868270382964347,0.49000837973857814,7.746732907753622,0.635643814386553,0.426283323142691,11.37826200322577,G1,diff_ancom_bc,-0.0011280611345048097,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.7204792970406193,0.2653925815552757,11.783855621597514,0.3074489233277053,11.967617520893446,0.4912108226236374,7.784473235736469,0.7397292141908832,0.5175332615043102,11.476406698269809,G1,diff_ancom_bc,0.008956310979797766,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.9365150391743954,0.04699162837472884,11.563832197619547,0.2996630072259264,11.745997235598336,0.4818280452047148,7.562681246721884,0.5049700881464524,0.30144797338846785,11.264169190393622,G1,diff_ancom_bc,0.011321522026568553,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8389595154700498,0.15890949292892254,11.647462996691958,0.2831999662236321,11.847445842516628,0.48318281204830066,7.709756864454165,0.6259602888012421,0.410496986286606,11.364263030468326,G1,diff_ancom_bc,-0.0030408188232795563,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-1.2857185144344154,-0.2878268994069274,11.204037126344572,0.2929384288565876,11.396971454829988,0.48587275734200486,7.258412150595307,0.17487311008224476,-0.03559923287070223,10.911098697487983,G1,diff_ancom_bc,-0.0030634254517952764,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8372865919319004,0.1597023471783476,11.63303273186293,0.2700584436562054,11.843000608471968,0.4800263202652438,7.663407664893479,0.6275716148783947,0.4081271658592116,11.362974288206724,G1,diff_ancom_bc,-0.0021607495345552508,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-1.0648387151939853,-0.0724174412665238,11.398193140785528,0.2616498230318005,11.615102212210894,0.4785588944571662,7.4949862339505335,0.3827992027068752,0.17529741511505972,11.136543317753729,G1,diff_ancom_bc,0.002406915648231256,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-1.281370980051835,-0.28719180736259226,11.239128446155842,0.32238680373910544,11.410642468420267,0.4939008260035305,7.251344983372214,0.1948494640205793,-0.029738525508418445,10.916741642416737,G1,diff_ancom_bc,6.490168864501378e-4,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
-0.8639641213042784,0.13224027118359674,11.612474004841893,0.2771811071794879,11.828007358286477,0.4927144606240718,7.660585461703256,0.5925801148823606,0.38137236356664383,11.335292897662406,G1,diff_ancom_bc,-0.0013762029121823227,2.9e-4,ANCOM-BC,"ANCOM-BC
(0.00029)"
