genus	USygt16.T1.418527	USygt30.T1.418821	USygt33.M.418638	USygt28.T2.418449	USygt16.B1.418368	USygt13.M.418644	USygt30.T2.418609	USygt25.S1.418338	USygt22.F.418477	USygt37.T2.418585	USygt14.F.418375	USygt12.T1.418615	USygt28.T1.418827	USygt11.M.418479	USygt25.F.418747	USygt31.T2.418361	USygt25.B1.418792	USygt15.F.418688	USygt29.T2.418768	USygt29.T1.418673	USygt15.T2.418859	USygt31.T1.418408	USygt27.M.418861	USygt14.T2.418813	USygt9.B1.418824	USygt11.F.418661	USygt32.M.418562	USygt23.T1.418854	USygt32.T1.418708	USygt35.T1.418610	USygt28.M.418808	USygt20.F.418339	USygt23.F.418490	USygt34.F.418402	USygt30.F.418729	USygt16.M.418462	USygt21.F.418579	F3T2pre4.418583	USBldAdlt6.418795	h68M.1.418773	USchp60Mom.418566	F4T2pre4.418418	USchp25Child.418345	USchp33ChildA.418742	USBldChld5.418733	USchp33Mom.418698	USBldChld4.418528	USchp35Child.418784	USchp18Mom.418783	USchp33ChildB.418578	USBldChld2.418414	USchp11Child.418850	USBldChld7.418488	USchp35Mom.418515	F3T1pre4.418699	USchp41Mom.418801	F4T1pre4.418431	USchp4Mom.418666	USchp25Mom.418780	USchp18Child.418782	h147B.4.418548	h264M.1.418377	h130A.4.418604	h130B.4.418471	h147A.4.418376	h147M.1.418531	h146M.1.418838	h186M.1.418788	h165M.1.418394	h60A.2.418856	h273M.1.418507	h146B.4.418409	h186B.1.418751	TS129.418618	TS184.418577	TS185.418675	TS194.418607	TS164.418396	TS5.418546	TS193.418750	TS111.418684	TS128.418470	TS2.418517	TS4.418810	TS1.418828	USchp36Mom.418718	TS110.418428	TS163.418636	TS127.418550	TS8.418379	TS195.418848	TS7.418860	USygt41.F.418802	USygt49.T1.418399	USygt49.M.418347	USygt38.T1.418654	USygt43.M.418520	USygt48.T2.418547	USygt51.T1.418476	USygt51.M.418844	USygt41.T2.418682	USygt51.F.418349	USygt49.B1.418842	USygt48.T1.418674	USygt52.M.418736	USygt44.T2.418648	USygt39.T1.418416	USygt46.M.418453	USygt44.F.418709	USygt51.T2.418469	USygt50.T2.418852	USygt46.T1.418865	USygt40.F.418369	USygt40.T1.418834	USygt37.M.418793	USygt48.F.418551	USygt38.T2.418456	USygt43.F.418760	USygt40.M.418504	USygt41.T1.418847	USygt42.T2.418716	USygt48.M.418794	USygt41.B1.418570	USygt53.M.418452	USygt52.T2.418721	USygt47.T2.418762	USygt49.F.418818	USygt50.M.418681	USygt19.B1.418817	USygt19.T2.418432	USygt11.T1.418632	USygt19.T1.418385	USygt21.T2.418484	USygt21.M.418797	USygt20.T2.418500	USygt16.F.418383	USygt11.T2.418503	USygt5.F.418630	USygt9.T1.418606	USygt21.B1.418713	USygt5.T1.418573	USygt17.T1.418600	USygt17.T2.418720	USygt21.T1.418559	USygt8.F.418739	USygt19.M.418397	USygt5.T2.418805	USygt5.M.418357	USygt16.T2.418435	USygt22.T1.418770	USygt9.M.418560	USygt20.M.418572	USygt4.M.418367	USygt6.M.418593	USygt10.T1.418683	USygt18.T1.418786	USygt20.T1.418564	USygt4.F.418451	USygt10.T2.418815	USygt10.M.418687	USygt17.M.418444	USygt18.M.418867	USygt12.T2.418790	USygt15.M.418634	USygt4.T2.418732	USygt18.T2.418629	h208M.1.418731	h60M.1.418694	h186A.1.418741	h101M.1.418586	h257M.1.418454	h146A.4.418620	k278A.2.418424	k278B.2.418686	h186C.1.418575	h60B.2.418433	h235M.1.418489	h279M.1.418530	USygt54.F.418487	USygt52.F.418555	USygt34.T2.418744	USygt53.T2.418455	USygt9.F.418438	USygt37.T1.418580	USygt45.F.418753	USygt45.M.418662	USygt50.T1.418743	USygt37.F.418676	USygt49.T2.418670	USygt25.B2.418685	USygt54.M.418445	USygt27.F.418639	USygt47.T1.418692	USygt53.T1.418664	USygt36.T1.418651	USygt47.M.418401	USygt46.T2.418679	USygt46.F.418450	USygt32.T2.418437	USygt54.T1.418381	USygt47.F.418643	USygt53.F.418830	USygt52.T1.418819	USygt45.T2.418535	USygt54.T2.418497	USygt44.T1.418626	USygt6.T2.418728	USygt39.T2.418351	USygt44.M.418360	USygt34.T1.418567	USygt3.T2.418807	USygt40.T2.418474	USygt50.F.418499	USygt33.T2.418787	USygt9.T2.418652	USygt34.T2.418554	h9B.5.418656	h9M.1.418588	h85M.1.418596	h95M.1.418831	h78M.1.418725	h9A.5.418658	USygt33.T1.418574	USygt25.T1.418406	USygt44.B1.418371	USygt26.T1.418758	USygt25.T2.418341	USygt22.M.418388	USygt43.T2.418799	USygt27.T2.418523	USygt38.F.418465	USygt26.M.418352	USygt37.B1.418521	USygt38.M.418740	USygt31.M.418440	USygt43.T1.418816	USygt36.T2.418655	USygt39.M.418483	USygt27.T1.418441	USygt23.M.418612	USygt30.M.418398	USygt22.T2.418493	USygt23.T2.418458	USygt26.T2.418693	USygt25.M.418835	USygt42.F.418628	USygt42.T1.418811	USygt36.M.418734	USygt24.T1.418841	USygt24.T2.418363	USygt39.F.418756	USygt35.M.418364	USygt34.M.418823	USygt42.M.418663	USygt35.T2.418689	USygt45.T1.418763	USygt41.M.418492	USygt24.M.418730	USygt32.S1.418608	USygt29.M.418603	USchp3Child.418614	USchp1Child.418697	USchp3Mom.418727	TS109.418691	TS25.418407	TS13.418619	TS26.418393	TS14.418541	USchp1Mom.418814	USygt12.M.418543	USygt7.T2.418392	USygt15.T1.418779	USygt1.T2.418785	USygt13.F.418411	USygt8.M.418616	USygt3.T1.418429	h10M.1.418706	USygt1.M.418373	USygt1.T1.418417	USygt13.T2.418745	USygt6.AS.418353	USygt3.M.418496	USygt8.T1.418829	USygt13.T1.418495	USygt1.F.418592	USygt14.T1.418853	USygt8.T2.418755	USygt7.T1.418622	USygt12.F.418502	USygt7.M.418598	h122M.1.418534	USygt4.T1.418764	USygt14.M.418857	h37M.1.418863	h305M.1.418771	USygt2.M.418457
Coprococcus	28455	27265	88941	65917	32335	78795	17226	38945	53746	17950	88694	86135	56308	26289	21810	69919	49815	50061	8508	19428	15995	167421	150175	19481	44985	72123	7073	89349	46698	40744	111159	43031	25651	163241	47208	69546	677	32851	25644	27174	59147	2027	22753	15862	42098	76920	31472	26770	15140	8162	13325	18046	2538	42810	75770	35659	6540	7741	31775	8303	131080	58206	63645	21432	38482	23209	34389	69717	52563	10821	45007	33258	3189	30127	16066	17183	14540	16580	9613	22252	52230	20921	11999	2992	28721	98753	41032	14738	68255	51017	16156	15839	15260	56194	84168	12724	9075	26620	39206	10288	4908	7483	15313	48266	56183	58338	52901	408	13879	50146	15891	13607	26918	31501	59917	65060	26724	30841	26161	3140	843	14645	17597	22906	17595	5031	9710	9621	14109	81699	25076	18396	26369	14890	27112	62702	56891	27412	18750	5674	11414	10449	15869	64886	20804	29359	43344	132026	3678	43106	40160	18117	23800	26984	11205	5601	15825	4253	8637	4957	37224	63677	11165	28507	19987	6610	107464	41416	9288	53321	12981	17370	18876	5523	4360	11833	47048	47893	88047	101956	13939	14270	37818	24664	3448	11815	10731	71854	80745	37545	71833	69149	31165	1270	7068	38005	22713	86424	8167	43640	40820	107118	28428	18934	97497	17295	27344	39433	67537	43929	27051	12673	54301	42028	19976	0	2596	14546	32799	23365	15328	109	14164	43632	9137	38586	107396	18722	78509	17375	69016	20322	8499	65949	51784	6389	22786	19618	72341	70790	14384	7608	22630	14361	7738	32355	29612	24862	1032	18338	10621	36413	9058	46065	24658	41531	34785	8414	121062	16603	10245	17487	31775	9849	37718	56894	23004	23819	20136	18173	26671	557	18379	47179	87731	34431	27704	19423	16024	32365	53122	1149	39488	18153	70666	7093	37849	32064	4907	6655	24903	10474	41914	36114	25607	5921
Dorea	4100	11563	11574	6097	9341	9361	8321	12231	7908	5015	8879	8486	16575	10654	6743	7449	9383	2123	19	2267	4984	8521	10403	6112	10051	6986	10279	8359	21655	42122	20	22034	7391	17894	8353	635	43	2698	10312	2417	16612	4545	3401	10045	1312	2150	2443	17	13221	4606	6470	1889	26	11	3750	25	2	12912	4002	4829	12795	6482	1718	1099	7773	2579	2090	2945	3692	1115	2063	4716	1218	12391	28157	9956	8395	4688	6500	509	14611	8853	879	957	1079	1601	11305	9479	4087	13453	167	7289	10268	16141	41	12	1132	5070	3814	3580	11	11037	4874	4072	10576	4581	16570	29	4441	6318	10605	4	15852	1951	9544	9165	4827	2775	6813	3683	49	9695	3991	1908	8961	1867	1295	12422	1662	7807	5562	16990	3857	9618	7896	7106	12188	4527	712	11	10010	18	4719	10237	26152	8579	30411	7904	1314	4762	3492	85	5260	87	2225	49	3832	19	5327	5118	525	7644	3866	5638	23	12	3128	2056	5543	2337	7475	2651	6211	2300	1944	2331	2092	692	24439	6428	11104	4574	15978	2402	2530	1122	2682	4454	17827	4531	14870	9536	3664	5949	2207	10765	10657	14871	21860	3923	5266	79	12067	8831	1315	731	10883	2077	1142	6225	11889	4723	6116	10	737	0	1223	2634	5832	1043	2438	607	8	18024	1493	2484	7017	1825	10942	1753	5731	1869	1327	7164	1220	2109	4	9675	6996	9164	3036	1764	5962	5023	1545	2653	12	20339	22	13988	5354	9594	9239	13	21555	4020	8072	1991	8188	2970	5	3923	1556	3242	2339	3959	3328	10547	3686	1854	3164	5	8183	898	7302	2663	1881	4492	3876	5250	4972	141	1746	690	9170	3663	6623	9671	5036	5821	1133	8267	962	2556	217	4404
Epulopiscium	86	250	1	3	2	4	2	1	2	0	0	36	3	0	2	6	110	1	4	16	1	2	2	1	1	74	0	8	6	5	0	4	1	15	0	0	0	3	1	0	25	0	0	1108	1	1	0	0	1	7	59	0	1	77	0	1	1	0	0	2	1	1	1	0	2	0	4	33	0	0	3	1	0	10	12	5	10	16	3	13	16	6	9	4	12	808	15	6	12	15	18	8	3	48	2	1	1	3	112	0	0	1	52	1	0	0	12	1	0	2	474	2	0	3	1	1	1	3	0	1	0	2	1	3	10	3	16367	6	0	0	0	0	0	0	0	5	0	291	0	160	1	116	0	8	0	0	3	2	6	0	0	0	0	0	3	0	74	0	0	1	3	63	33	4	58	0	172	2	0	2	5	0	1	0	203	0	49	1	1	18	0	10	1	4	1	3	1	2	137	32	1	0	13	2	153	0	0	0	1	9	1	0	1	1	3	1	0	1	4	18	3	0	163	0	7	0	0	1	1	0	0	0	0	11	0	409	4	1	7	0	3	0	9	1	0	68	38	0	0	2	1	1	0	1	6	0	5	0	1	285	1	1	0	3	2	0	1	0	0	45	0	1	1	1	1	1	6	2	1	0	0	68	90	0	0	0	0	0	3	94	2	0	1	1	0	3	0	1	0	0	0	0	0	1	0	0
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Eubacterium	263	856	539	738	639	234	340	503	165	344	565	388	880	385	192	421	457	345	652	784	750	594	855	287	699	175	293	517	174	571	458	421	185	1034	485	182	79	440	611	36	486	228	3630	465	206	409	279	921	365	345	18	202	105	515	673	80	474	676	182	170	337	625	316	125	146	70	142	223	339	905	374	1530	64	489	1070	637	1308	1141	416	735	7104	730	2764	354	1173	813	484	1151	412	811	1528	641	387	454	175	148	624	236	326	296	192	173	59	883	160	173	305	16	247	794	132	260	457	256	567	239	99	333	294	734	45	297	301	112	706	254	405	259	145	198	239	403	145	217	786	606	206	422	1111	49	162	722	173	448	121	123	421	781	842	132	87	740	319	3522	130	1002	209	181	582	313	527	657	163	398	283	45	251	292	339	131	917	176	393	41	56	1360	635	59	487	605	388	606	3551	267	208	58	295	988	678	170	1003	368	258	484	288	222	250	317	150	402	209	289	542	421	1007	182	514	228	250	448	476	358	210	658	104	0	98	185	390	156	63	5	345	339	633	174	245	253	851	151	380	140	220	341	224	972	581	301	198	1519	610	425	473	153	15	361	559	905	72	951	333	884	127	381	337	388	532	79	314	440	350	860	212	131	672	1233	586	638	479	194	240	126	377	214	374	644	61	150	135	646	241	48	97	337	80	208	144	279	84	107	85	375	34	161	50	86
Johnsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Lachnobacterium	251	1826	2701	25311	4120	3544	1619	4311	3518	2038	967	1956	2806	3461	6805	4796	2734	1935	1487	2661	1615	25843	855	3155	18736	31220	2369	28198	826	7853	2994	3497	2930	4412	29648	6329	819	2786	4116	11859	10421	1787	2668	3390	2706	800	5426	3552	2805	687	2135	587	20	6868	4389	7	612	2790	1483	811	3695	731	5817	4106	2695	3853	1682	12025	2704	2011	5932	13604	2404	4194	11132	5127	93611	965	2658	4697	3825	1037	553	1948	127	21337	32040	3937	7942	6407	5052	9778	12901	1511	456	2521	167	23764	1414	3390	14	1126	382	5039	7741	891	4416	14	180	1048	1476	1074	2329	24758	1580	1478	2078	655	59413	132	236	4267	1422	7776	10887	976	4106	2624	731	5112	60766	1956	1896	4023	4028	41885	1985	2605	621	1686	1499	3591	923	5071	796	2370	2213	5045	98	1990	2474	766	2322	496	2083	4096	781	23	1742	4278	4357	2076	2070	2055	5900	326	15250	1250	67496	527	14262	9297	8622	1026	1146	1404	1463	1630	4333	34695	2925	1513	7807	20617	1142	846	3506	20880	6381	20123	1837	6163	1744	5409	662	2904	3053	2961	943	18466	2645	494	2902	2982	4764	13782	734	77291	18177	2751	167	3326	5352	2993	5789	0	768	1309	5378	1320	5017	14	3721	2562	479	15338	54417	3056	2172	1123	21740	2566	795	3693	292	631	2899	2858	1055	1956	258	228	2482	1570	423	24721	540	4007	15	1509	2794	26	1807	42761	2967	1830	47924	2115	1573	5426	399	9369	3665	14619	205	1133	529	27481	2029	1245	716	1208	1861	4570	1239	2355	13773	3219	913	691	7414	299	4434	43	17776	402	12253	3235	909	738	2948	2193	527	2684	1241	5
Lachnospira	14209	97675	36960	7169	44098	2710	39719	11917	5068	42531	49287	96443	9924	22350	55547	6451	30089	25248	20092	31366	63828	8592	67633	54937	13334	23311	6661	22439	10721	2738	164	5681	77	18224	39940	45357	4477	11182	1842	18508	5215	34	7084	12593	40956	42530	13796	18563	4212	9270	828	24073	12938	14032	5457	11	30405	2822	23641	7119	16189	3179	13586	19588	13968	14226	6903	14067	49132	119269	6753	21633	2353	53543	103440	15076	24323	214328	423	3720	48799	40917	1270	14061	39037	24717	1969	54754	23121	48156	20757	33059	6148	572	510	84046	73	12602	2814	3588	3936	8346	2117	3630	17993	33901	15226	112	16092	1727	27410	38319	1146	24498	3148	16507	29651	21834	43241	580	799	2785	11890	26287	19235	45040	3597	3395	154	17593	7238	36260	10589	16940	16114	13171	12672	6435	2450	15567	8589	5478	6602	1726	19272	12960	2512	17421	31211	23445	15823	42579	10587	20259	37073	11126	17839	12	30404	31301	34541	16925	9994	55723	38528	45023	86393	12058	46574	3698	27239	25045	3832	318	117468	36189	5717	16923	21613	35551	6267	46266	26026	22539	30565	19581	19318	19349	11344	23791	17866	10040	16380	220	1651	3862	26815	31222	53	66356	27623	9332	60591	24958	14744	3096	27774	25592	61608	10095	22072	22057	13978	15791	9348	0	9942	17791	7006	3784	8821	810	12	5481	2996	3612	26774	13878	6574	10965	23385	6510	10330	17580	21795	2045	8956	32842	2310	16407	15479	1502	540	1135	1551	7501	1956	4155	1443	14974	24138	9997	2251	4759	480	1025	10106	17133	21335	15744	12327	29434	26416	38880	19348	34463	15342	6960	13968	36977	8124	7037	1873	13837	18057	3417	13162	2683	7541	16642	5693	2	21543	12122	19681	11592	2534	17289	1917	13882	7800	21602	22151	15455	672	1293
Moryella	2	6	8	1	1	9	17	4	16	1	2	5	17	7	6	7	10	7	41	6	6	10	10	5	5	8	6	3	56	12	38	7	18	2	9	8	14	3	9	2	6	17	4	1	2	7	1	3	3	0	8	6	5	11	1	6	5	17	1	3	57	4	3	2	4	3	2	4	4	8	4	1	3	6	13	52	8	5	3	33	7	4	3	57	6	5	3	10	4	4	9	6	2	4	0	0	0	6	2	2	0	1	6	2	6	0	3	0	10	3	1	6	1	3	12	3	0	3	7	1	2	2	6	7	2	6	5	3	1	2	4	0	1	24	19	9	17	7	0	38	2	4	0	13	7	1	11	2	0	592	5	4	5	9	2	4	1	4	2	25	21	4	5	2	1	1	6	2	7	0	2	6	19	16	19	14	7	4	2	7	0	4	11	5	14	4	1	5	45	4	4	13	11	7	425	1	8	1	7	5	2	29	3	9	8	1	0	6	0	24	3	8	2	2	3	0	24	87	4	23	0	4	3	1	0	1	0	4	0	1	1	4	3	2	5	9	16	4	0	5	21	1	0	4	2	4	1	3	45	23	3	6	3	4	2	0	0	15	1	2	4	46	4	4	17	24	143	2	11	4	5	2	2	0	12	2	2	5	5	2	9	0	0	0	5	1	3	0	1	1	4	1	1	1	1	6
Oribacterium	15	21	100	66	7	33	11	22	97	36	45	26	19	147	8	13	16	163	65	24	84	30	36	40	56	42	21	136	14	32	238	39	137	58	16	33	13	14	9	7	87	71	18	17	25	15	5	74	11	14	13	42	124	25	53	55	20	219	8	4	70	21	16	9	19	37	20	21	23	31	19	17	5	33	18	18	50	32	12	21	50	12	76	28	188	123	27	40	15	17	24	16	34	41	25	21	18	14	50	18	6	14	3	7	4	26	15	18	42	3	26	43	12	13	78	37	19	65	130	6	5	10	23	25	44	11	11	9	2	8	12	22	7	20	44	10	45	12	92	76	5	10	8	38	4	14	4	224	7	55	18	36	3	14	7	43	10	52	40	74	89	116	9	48	20	21	20	11	6	5	105	19	30	1	17	27	28	7	54	16	3	28	40	112	47	372	32	22	12	13	53	26	8	29	20	16	15	46	43	9	12	10	13	28	16	7	23	33	111	19	0	19	30	182	16	0	6	48	21	13	28	5	39	3	1	13	6	27	34	8	21	11	87	20	23	86	6	39	10	12	23	1	0	9	3	53	181	13	15	8	10	35	12	33	3	5	43	5	10	4	12	53	9	10	10	24	6	40	28	41	7	8	23	27	59	5	13	20	6	1	17	6	3	3	23	2	5	10	8	13	5	13	21	12	9	3
Pseudobutyrivibrio	0	1	0	0	1	1	2	1	1	0	7	0	0	184	5	0	0	0	1	0	0	2	0	12	1	15	4	0	1	0	0	1	1	0	0	0	0	0	2	0	4	0	0	7	1	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	219	2	36	76	344	5	1	1	11	0	26	1	1	1	0	1	0	112	1	1	1	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	26	0	60	1	3	0	0	0	0	0	1	0	0	0	2	3	0	0	0	0	1	0	2	0	0	0	0	0	0	7	0	22	1	3	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	23	0	5	0	2	7	3	4	1	5	65	3	0	0	1	2	0	0	1	0	0	0	0	2	1	54	0	1	6	0	0	37	0	0	0	1	0	0	1	0	0	16	1	0	0	0	0	0	0	0	1	365	0	39	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	2	0	1	0	0	0	1	1	8	0	1	0	0	8	0	56	0	0	1	0	0	0	0	3	0	0	0	0	0	7	0	0	20	1	3
Roseburia	5311	72547	220923	63869	16847	229341	71260	168967	23915	130810	27437	327507	155205	170780	282601	121806	211067	160673	180270	148357	234201	432315	41744	302283	145590	194556	251902	99814	57935	187705	168230	121108	179954	347750	209505	160912	57808	84012	38434	31586	131995	28607	44181	138818	45754	66373	9389	248024	79455	80690	45395	27690	110	198094	220190	77	14249	81804	130251	51461	41572	23226	185689	124290	90420	78987	67212	41847	125284	92707	44999	120011	39608	270507	392980	277330	193508	14239	162039	193030	167609	74263	39789	57665	2150	112917	7707	108955	136935	115975	246553	125213	116888	33729	32535	159425	5712	131670	156550	186560	950	81899	28904	283695	50981	124742	149147	431	15612	74380	104377	183490	163303	125366	152114	82589	191704	41762	222801	4138	2991	492046	132493	23160	364506	146676	205300	328167	8283	67133	21875	122259	120943	226226	116992	134040	25290	96183	23716	88675	128008	199414	105012	217620	5585	5423	90120	140716	1445	107681	123510	75666	105103	37417	67578	135216	143808	84	107065	223679	188142	122832	122350	130226	175290	2134	63008	44871	130273	14067	81076	140864	111450	105878	14849	85950	35250	59666	90117	105177	192417	74667	187771	40962	66193	44873	153578	30545	455659	75117	133021	202196	117723	301329	49979	69446	88901	131168	52689	413683	211744	10074	312848	128299	65155	58128	31745	159035	24431	170041	13942	75549	225170	281043	259562	0	28593	54541	96145	52173	62353	125	143681	38217	14074	42597	34563	64573	67952	100495	167955	41640	25061	70875	4911	2217	110624	209831	49772	49480	3955	3425	157382	59761	14873	93052	16399	196589	1214	48389	324739	164	109810	95761	246581	52255	326874	108220	82004	42777	15242	159177	50193	247141	11519	61147	37634	49749	132456	67196	53424	119946	83652	45239	60877	92088	85127	105922	57533	9812	56018	9525	55335	3887	32133	37340	19664	66285	53560	94333	22108	233113	19477	24347	13405	554
Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus	63636	86882	48443	43199	73021	19980	60524	30780	47493	68432	29292	37288	44070	66476	26112	33934	34569	72163	76946	62443	29775	33503	49252	33195	83780	37604	36715	12888	60264	141959	125974	57957	92472	31052	23083	16106	48001	26700	33647	9484	48713	51005	21182	43975	9476	36777	11057	128189	36421	34223	80611	29461	95920	35482	37495	41284	18392	80743	8419	22474	20280	9645	10537	1956	10748	3052	7257	9533	16156	8927	7948	9145	1245	81706	34485	68778	41070	58432	41453	51043	72979	10062	65624	73746	21300	18215	31044	90930	35775	44278	21315	54518	28913	47392	100720	10124	62380	23222	16986	35487	19219	32316	12490	27668	15414	14427	48830	4090	167855	72850	65578	29939	47252	9938	17178	48670	7277	31312	79023	176093	25261	21080	21775	123027	42493	43677	84259	107828	7424	13111	25303	59996	40196	21290	49311	62325	21812	68183	18747	85499	52797	73531	32057	205422	88042	36501	66622	38350	65971	45730	26593	169799	76447	49359	22579	137242	22142	218112	51939	74430	358050	17081	24924	28769	56644	54896	5947	6745	4802	8413	27755	5541	30685	6210	5631	7382	4949	6658	38748	35431	63819	74654	107187	11348	66347	18453	33609	7574	30439	34176	83588	59548	16106	97846	115649	109690	32483	37672	73477	20333	13694	65982	53634	43897	56787	8018	7565	22462	9678	21562	18271	18087	12887	44311	37293	0	3739	12544	14096	11519	9361	6443	26111	19700	25769	36910	53207	11915	17191	13721	22307	32387	13459	44550	16456	33568	56403	56070	59004	34749	19336	15246	52753	22267	4172	50013	78375	11395	112426	89343	32004	175168	21758	103792	73188	87846	18998	33700	51617	43402	47123	34850	16031	15096	48980	25974	52356	49068	29534	21232	17221	15573	91705	12296	25040	33337	2302	31742	19812	51400	18494	2406	21018	16112	20435	34874	22019	36420	29820	14305	2149	13130	8701	5220	1606	18956
Shuttleworthia	4	7	3	24	12	1	11	7	3	8	12	10	16	3	3	12	4	7	5	4	9	9	9	7	7	8	9	7	7	30	7	16	8	12	11	1	2	3	8	1	5	0	2	2	0	0	2	5	1	1	0	2	0	2	1	6	9	4	0	0	2	5	5	3	3	1	3	0	7	20	5	5	0	5	6	114	4	1	6	10	5	0	1	0	1	4	9	3	5	5	1	2	0	1	0	1	1	0	3	0	0	1	4	3	0	1	3	0	2	0	0	0	1	1	4	4	1	0	6	2	0	1	0	0	3	0	0	1	3	3	2	7	1	2	5	7	6	5	4	0	2	0	4	22	5	4	8	0	0	3	2	6	8	10	2	4	4	1	1	5	3	1	3	0	15	2	3	0	6	2	5	2	5	1	3	3	2	3	4	2	2	1	8	2	2	1	2	0	3	1	5	6	3	2	3	1	5	2	3	2	2	2	4	4	3	1	4	0	5	2	4	0	6	14	6	0	0	5	1	0	1	0	0	2	0	0	1	0	2	0	1	1	0	0	1	2	2	1	2	2	1	0	4	0	0	0	3	1	0	13	0	8	1	4	2	4	2	2	0	2	2	5	1	0	0	1	1	3	4	0	1	1	2	0	2	0	0	1	0	1	0	0	0	2	0	0	1	0	0	0	0	0	1	3	0	48
Dehalobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfitobacterium	11	13	3	6	4	6	6	4	3	3	5	4	7	5	4	10	6	6	7	5	6	2	12	6	2	3	6	1	3	8	2	3	8	7	8	4	1	1	4	2	3	0	2	2	1	6	3	4	2	1	8	3	1	3	0	2	3	2	2	1	4	1	6	1	3	3	8	7	4	5	5	2	0	5	2	4	8	20	2	8	9	3	2	6	5	14	7	8	4	12	5	10	3	3	2	4	4	3	1	7	4	1	2	2	0	2	0	0	4	4	0	2	2	2	3	2	0	3	1	4	1	1	1	4	0	2	0	4	4	7	1	2	9	6	2	2	6	4	5	3	2	1	1	4	6	2	3	2	3	2	4	8	2	3	2	3	8	3	3	0	5	6	0	6	4	3	1	6	4	1	5	9	5	5	3	4	5	4	5	7	2	5	4	3	1	5	0	9	5	5	8	9	6	5	1	2	6	7	5	5	8	5	4	2	3	1	4	3	3	2	2	7	2	4	2	0	3	1	3	5	5	5	1	0	3	2	4	1	2	1	3	0	1	2	1	2	0	1	2	2	1	0	3	1	1	5	4	3	3	4	1	1	2	2	0	1	1	0	0	3	2	1	3	3	2	3	4	1	2	1	0	1	3	0	3	1	1	3	1	0	2	1	2	2	1	2	4	2	0	0	2	3	2	3	3	0
