featureid	Intercept	country[T.US]
Methanobrevibacter	6.1646236019829885	0.9393332379492119
Methanosphaera	3.729772670815386	-3.5591747385827714
Actinomyces	1.7506555157403128	1.7489980238111809
Arcanobacterium	-2.7595220965643747	0.12971959287246015
Mobiluncus	-1.7943459910651072	1.644934095683892
Varibaculum	0.8373063641289846	1.52546630078872
Corynebacterium	1.066445215294756	0.8905564809771374
Dietzia	-3.801131860663496	-0.9777254683343575
Curtobacterium	-4.1186500949164255	-0.7866639715997383
Arthrobacter	-2.640363351752363	-0.7072896582452461
Kocuria	-2.5262943667670115	-0.49742027347962114
Renibacterium	-3.9053722781439646	-1.0221175772515938
Rothia	2.1977933483819143	-0.3212152344552681
Mycobacterium	-4.0050941867133005	-0.5153083426324532
Rhodococcus	-3.9521976870795115	-0.9137026888696358
Streptomyces	-3.738117830206953	-1.277637205776374
Alloscardovia	-0.8864885730048044	1.2016165631445244
Bifidobacterium	7.39635251338283	1.637545682731469
Gardnerella	-1.552071229865156	1.0202924537094429
Parascardovia	-3.461105005194746	0.7174962686928108
Scardovia	-2.22468818848332	1.3337279933126762
Adlercreutzia	4.568842394898333	0.8582025992306068
Atopobium	1.6681870060662405	0.7151082980068519
Collinsella	4.877871497223772	2.0121431725653007
Eggerthella	2.2744422989586965	2.593865551296074
Olsenella	2.7777055340508596	0.8605242522986725
Slackia	2.4364715653161184	1.1732554661663368
Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	7.176990612099566	3.5650923627050712
Dysgonomonas	-0.7325493258734568	1.1967370885046318
Odoribacter	2.956217630455889	2.768065251651604
Paludibacter	-3.6361900729437693	-0.6053824049798653
Parabacteroides	5.146270378182329	3.357726134601433
Porphyromonas	1.1618064480523245	0.9188695030840233
Tannerella	-1.7942363185187205	-0.38689383095185015
Prevotella	10.333221300194658	-1.4231140238610909
Alistipes	5.892188562701143	3.1808748620184253
Candidatus Azobacteroides	-3.6680742663641794	0.9759161102207496
Algoriphagus	-4.295325891425215	-0.31418403213898394
Aquiflexum	-4.250076906134687	-0.10205491608063433
Cyclobacterium	-4.036157266547285	0.30002508336623457
Dyadobacter	-4.178559915473066	0.5482880252035454
Hymenobacter	-4.040962831427656	-0.5163871867028877
Pedobacter	-4.068435327460371	1.3869204598100975
Sphingobacterium	-3.080938951422773	2.0320144074590996
Anaerobacillus	-2.859714166571699	-1.233825407680671
Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus	0.17756257827083033	0.021734334770043162
Lentibacillus	-3.335018770148359	-2.206916056331795
Salinibacillus	-4.093599931647383	-0.5400259119836495
Brevibacillus	-1.1432544154425486	0.34609726840575483
Paenibacillus	-2.799864427496992	1.0433937090071037
Lysinibacillus	-3.9125315112372263	-1.3864900690881417
Sporosarcina	-3.81697334473332	-0.513825498279731
Salinicoccus	-1.5553981227179392	-2.068819723781746
Staphylococcus	-0.7602406901617869	0.8831271680625274
Gemella	0.5629767018059866	1.279635228458245
Turicibacter	4.627448900292315	2.1906824486883476
Abiotrophia	-1.4313947123785837	0.7176564561756447
Aerococcus	-3.763332979132734	-0.6010826451150582
Facklamia	-2.49572147553166	0.5753807502420738
Carnobacterium	1.6112741070489065	-3.151613436397713
Granulicatella	1.9904907780388967	-0.04639782732407305
Trichococcus	-2.7821041507025583	-1.90911623066346
Enterococcus	4.856858714173235	-1.5928053480951005
Melissococcus	-1.7885366839667185	-1.2830547911492989
Tetragenococcus	-2.645908014227949	-1.7579693419305498
Vagococcus	1.7108357983330862	-1.7661513907281572
Lactobacillus	6.29591373975078	-1.6947574240533525
Pediococcus	0.7808946209649221	-0.5598090512124703
